timestamp,temperature_c,vibration_mms,pressure_bar,rpm
2026-01-01T10:00:00,72.4,3.1,4.8,1480
2026-01-01T10:05:00,73.1,3.3,4.9,1482
2026-01-01T10:10:00,74.0,3.4,4.8,1481
2026-01-01T10:15:00,75.2,3.8,4.9,1483
2026-01-01T10:20:00,76.0,4.1,5.0,1484
2026-01-01T10:25:00,78.5,5.2,5.1,1485
2026-01-01T10:30:00,81.2,6.7,5.2,1487
2026-01-01T10:35:00,84.6,7.4,5.3,1489
2026-01-01T10:40:00,86.9,8.1,5.4,1490
2026-01-01T10:45:00,88.1,8.4,5.5,1491
2026-01-01T10:50:00,87.3,7.9,5.4,1490
2026-01-01T10:55:00,82.0,6.2,5.2,1488
2026-01-01T11:00:00,79.1,5.0,5.0,1485
2026-01-01T11:05:00,76.8,4.3,4.9,1483
2026-01-01T11:10:00,75.4,3.7,4.8,1481
